"name","article_title","death_date","birth_date","description","pageviews"
"David Stern","David Stern","2020-01-01","1942-09-22","American sports executive and lawyer","69299"
"Don Larsen","Don Larsen","2020-01-01","1929-08-07","American baseball player (New York Yankees, Baltimore Orioles, San Francisco Giants)","10638"
"Les Josephson","Les Josephson","2020-01-01","1942-07-29","American football player (Los Angeles Rams) and actor (''Heaven Can Wait'')","1362"
"Ng Jui Ping","Ng Jui Ping","2020-01-01","1948-10-17","Singaporean entrepreneur and army general","980"
"Chris Barker","Chris Barker","2020-01-01","1980-03-02","English footballer (Barnsley, Cardiff City, Southend United)","797"
"Marty Grebb","Marty Grebb","2020-01-01","1946-09-02","American musician (The Buckinghams)","782"
"Carlos De León","Carlos De León","2020-01-01","1959-05-03","Puerto Rican boxer","688"
"Doug Hart","Doug Hart","2020-01-01","1939-06-06","American football player (Green Bay Packers)","615"
"Lexii Alijai","Lexii Alijai","2020-01-01","1998-02-19","American rapper","535"
"Alexander Frater","Alexander Frater","2020-01-01","1937-01-03","British-Australian travel writer and journalist","401"
"János Aczél","János Aczél (mathematician)","2020-01-01","1924-12-26","Hungarian-Canadian mathematician","345"
"Walter Hayman","Walter Hayman","2020-01-01","1926-01-06","German-born British mathematician","327"
"Jiao Ruoyu","Jiao Ruoyu","2020-01-01","1915-10-09","Chinese politician and diplomat","289"
"Jaap Schröder","Jaap Schröder","2020-01-01","1925-12-31","Dutch violinist and conductor","282"
"Tommy Hancock","Tommy Hancock","2020-01-01","1929-03-25","American musician","243"
"Joan Benson","Joan Benson","2020-01-01","1925-10-09","American keyboard player","239"
"Jimmy Moran","Jimmy Moran","2020-01-01","1935-03-06","Scottish footballer (Norwich City, Northampton Town, Workington)","176"
"Peter Neumann","Peter Neumann (Canadian football)","2020-01-01","1931-12-31","Canadian football player (Hamilton Tiger-Cats)","165"
"George W. Blair","George W. Blair","2020-01-01","1921-08-24","American politician","136"
"Dick Scott","Dick Scott (historian)","2020-01-01","1923-11-17","New Zealand historian","113"
"Roland Minson","Roland Minson","2020-01-01","1929-02-18","American basketball player (BYU Cougars)","107"
"Barry McDonald","Barry McDonald (rugby union)","2020-01-01","1942-06-09","Australian rugby union player (national team)","76"
"Jim Manning","Jim Manning (pitcher)","2020-01-01","1943-07-21","American baseball player (Minnesota Twins)","49"
"Aleksandr Manachinsky","Aleksandr Manachinsky","2020-01-01","1958-09-02","Ukrainian Olympic swimmer (1976)","25"
"Bengt Levin","Bengt Levin","2020-01-01","1958-09-30","Swedish orienteer","22"
"Günter Brümmer","Günter Brümmer","2020-01-01","1933-02-15","German canoeist","12"
"Sam Wyche","Sam Wyche","2020-01-02","1945-01-05","American football player (Washington Redskins) and coach (Cincinnati Bengals, Tampa Bay Buccaneers)","10998"
"John Baldessari","John Baldessari","2020-01-02","1931-06-17","American conceptual artist","6616"
"Marian Finucane","Marian Finucane","2020-01-02","1950-05-21","Irish broadcaster (''Liveline'', ''The Marian Finucane Show'')","3466"
"Bruce McEwen","Bruce McEwen","2020-01-02","1938-01-17","American neuroendocrinologist","2293"
"D. P. Tripathi","D. P. Tripathi","2020-01-02","1954-01-06","Indian politician","1758"
"Najwa Qassem","Najwa Qassem","2020-01-02","1967-07-07","Lebanese journalist and television presenter (Al Arabiya)","1651"
"Nick Fish","Nick Fish","2020-01-02","1958-09-30","American politician and lawyer","1451"
"Shen Yi-ming","Shen Yi-ming","2020-01-02","1957-03-30","Taiwanese Air Force general officer","606"
"Marie Clarke","Marie Clarke","2020-01-02","1915-06-27","American labor leader","502"
"Barbara Uehling","Barbara Uehling","2020-01-02","1932-06-12","American educator and university administrator","246"
"Ricardo Rosales","Ricardo Rosales (politician)","2020-01-02","1934-02-14","Guatemalan politician","159"
"Terry Gray","Terry Gray (ice hockey)","2020-01-02","1938-03-21","Canadian ice hockey player (St. Louis Blues, Los Angeles Kings)","151"
"Yukiko Miyake","Yukiko Miyake","2020-01-02","1965-03-05","Japanese politician","101"
"Élisabeth Rappeneau","Élisabeth Rappeneau","2020-01-02","1940-01-19","French film director (''J'ai peur d'oublier'') and screenwriter (''Lovers Like Us'', ''Une Femme ou Deux'')","96"
"Bill Graham","Bill Graham (Canadian football)","2020-01-02","1935-11-15","Canadian football player (Hamilton Tiger-Cats)","92"
"Tom Hickey","Tom Hickey (politician)","2020-01-02","1933-02-15","Canadian politician","92"
"Veronika Fitz","Veronika Fitz","2020-01-02","1936-03-27","German actress (''The Vulture Wally'', ''The Spessart Inn'', ''Oh! This Bavaria!'')","84"
"Mohamed Salah Dembri","Mohamed Salah Dembri","2020-01-02","1938-01-30","Algerian politician","80"
"Gale McArthur","Gale McArthur","2020-01-02","1929-03-06","American basketball player (Oklahoma State Cowboys)","76"
"Jack McGuire","Jack McGuire","2020-01-02","1933-05-12","American politician","71"
"Tom Buck","Tom Buck","2020-01-02","1938-03-02","American politician","56"
"R. Kern Eutsler","R. Kern Eutsler","2020-01-02","1919-08-02","American United Methodist Church bishop","54"
"Grant Weatherstone","Grant Weatherstone","2020-01-02","1931-06-27","Scottish rugby union player (Edinburgh District, national team)","49"
"Roman Monchenko","Roman Monchenko","2020-01-02","1964-08-09","Russian rower","21"
"Luciana Guindani","Luciana Guindani","2020-01-02","1937-07-27","Italian Olympic sprint canoer","19"
"Qasem Soleimani","Qasem Soleimani","2020-01-03","1957-03-11","Iranian major general","25429"
"Derek Acorah","Derek Acorah","2020-01-03","1950-01-27","English self-styled spiritual medium and television personality (''Most Haunted'', ''Derek Acorah's Ghost Towns'')","12977"
"Penny Morrell","Penny Morrell","2020-01-03","1938-02-04","British actress (''A Stitch in Time'', ''Mrs. Gibbons' Boys'', ''The End of the Affair'')","5449"
"Christopher Beeny","Christopher Beeny","2020-01-03","1941-07-07","English actor (''Upstairs, Downstairs'', ''In Loving Memory'', ''Last of the Summer Wine'')","4980"
"Abu Mahdi al-Muhandis","Abu Mahdi al-Muhandis","2020-01-03","1954-07-01","Iraqi military commander","3745"
"Robert Blanche","Robert Blanche","2020-01-03","1962-03-30","American actor (''Grimm'', ''World Trade Center'', ''Leverage'')","1033"
"Reuben Hersh","Reuben Hersh","2020-01-03","1927-12-09","American mathematician","641"
"Pete Brewster","Pete Brewster","2020-01-03","1930-09-01","American football player (Cleveland Browns, Pittsburgh Steelers) and coach","392"
"Wolfgang Brezinka","Wolfgang Brezinka","2020-01-03","1928-06-09","German-Austrian educational scientist","300"
"Nathaël Julan","Nathaël Julan","2020-01-03","1996-07-19","French footballer (Le Havre, Valenciennes, Guingamp)","244"
"Ninez Cacho-Olivares","Ninez Cacho-Olivares","2020-01-03","1941-07-19","Filipino journalist (''Daily Tribune'')","230"
"Mónica Echeverría","Mónica Echeverría","2020-01-03","1920-09-02","Chilean journalist","152"
"Douglas N. Walton","Douglas N. Walton","2020-01-03","1942-06-02","Canadian academic","118"
"James W. Hennigan Jr.","James W. Hennigan Jr.","2020-01-03","1927-03-17","American politician","110"
"Domenico Corcione","Domenico Corcione","2020-01-03","1929-04-20","Italian general","109"
"Bernard Ryan Jr.","Bernard Ryan Jr.","2020-01-03","1923-12-02","American writer","67"
"Michael Shute","Michael Shute","2020-01-03","1951-09-21","Canadian academic","63"
"Stella Maris Leverberg","Stella Maris Leverberg","2020-01-03","1962-09-12","Argentine politician and trade unionist","45"
"Harvey Reti","Harvey Reti","2020-01-03","1937-09-14","Canadian Olympic boxer (1964)","40"
"Tom Long","Tom Long (actor)","2020-01-04","1968-08-03","American-born Australian actor (''Two Hands'', ''The Dish'', ''The Postcard Bandit'')","2546"
"Russell Bannock","Russell Bannock","2020-01-04","1919-11-01","Canadian fighter ace during World War II","2472"
"Georges Duboeuf","Georges Duboeuf","2020-01-04","1933-04-14","French vintner","1664"
"P. H. Pandian","P. H. Pandian","2020-01-04","1945-02-27","Indian politician","1130"
"Bonnie Burstow","Bonnie Burstow","2020-01-04","1945-03-06","Canadian psychotherapist","753"
"Emilio Giletti","Emilio Giletti","2020-01-04","1929-04-20","Italian racing driver","707"
"Herbert Binkert","Herbert Binkert","2020-01-04","1923-09-03","German football player (1. FC Saarbrücken, Saarland national team) and manager (FC 08 Homburg)","607"
"Guy Arnold","Guy Arnold","2020-01-04","1932-05-06","English writer and explorer","573"
"Sir Jack Baldwin","Jack Baldwin (chemist)","2020-01-04","1938-08-08","British chemist","571"
"Zdravko Tomac","Zdravko Tomac","2020-01-04","1937-05-24","Croatian politician and writer","426"
"Lorenza Mazzetti","Lorenza Mazzetti","2020-01-04","1927-07-26","Italian film director (''Together'') and novelist","396"
"Emanuel Borok","Emanuel Borok","2020-01-04","1944-07-15","Soviet-born American violinist (Boston Symphony Orchestra, Boston Pops, Dallas Symphony Orchestra)","349"
"K. S. S. Nambooripad","K. S. S. Nambooripad","2020-01-04","1935-04-06","Indian mathematician","304"
"Gugum Gumbira","Gugum Gumbira","2020-01-04","1945-04-04","Indonesian gamelan composer and orchestra leader","252"
"James Parks Morton","James Parks Morton","2020-01-04","1930-01-07","American Episcopal priest and founder of Interfaith Center of New York","232"
"Károly Gesztesi","Károly Gesztesi","2020-01-04","1963-04-16","Hungarian actor (''A Kind of America'', ''The District!'', ''Children of Glory'')","179"
"Puerto Plata","Puerto Plata (musician)","2020-01-04","1923-08-04","Dominican musician","152"
"Bill Hobbs","Bill Hobbs (rower)","2020-01-04","1949-07-30","American rower","106"
"John R. Cunningham","John R. Cunningham","2020-01-04","1927-01-05","Canadian medical physicist","84"
"Ben Verhagen","Ben Verhagen","2020-01-04","1926-09-29","Dutch Olympic sailor","75"
"Oliver Batali Albino","Oliver Batali Albino","2020-01-04","1935-11-11","South Sudanese politician","59"
"Byron W. Bender","Byron W. Bender","2020-01-04","1929-08-14","American linguist","57"
"T. N. Chaturvedi","T. N. Chaturvedi","2020-01-05","1929-01-18","Indian civil servant","2580"
"Hans Tilkowski","Hans Tilkowski","2020-01-05","1935-07-12","German football player (Westfalia Herne, Borussia Dortmund, West Germany national team) and manager","1992"
"James Barber","James Barber (biochemist)","2020-01-05","1940-07-16","British biochemist","858"
"Sylvia Jukes Morris","Sylvia Jukes Morris","2020-01-05","1935-05-24","British biographer","678"
"Walter Learning","Walter Learning","2020-01-05","1938-11-16","Canadian actor","363"
"Betty Pat Gatliff","Betty Pat Gatliff","2020-01-05","1930-08-31","American forensic artist","182"
"Anri Jergenia","Anri Jergenia","2020-01-05","1941-08-08","Abkhazian politician","160"
"Sir Michael Stear","Michael Stear","2020-01-05","1938-10-11","British Royal Air Force air chief marshal","148"
"Mien Sugandhi","Mien Sugandhi","2020-01-05","1934-10-06","Indonesian politician","108"
"Peter Dyck","Peter Dyck","2020-01-05","1946-11-22","Canadian politician","78"
"Danny Masterton","Danny Masterton","2020-01-05","1954-09-05","Scottish footballer (Ayr United, Clyde)","66"
"David Albin Zywiec Sidor","David Albin Zywiec Sidor","2020-01-05","1947-07-15","American-Nicaraguan Roman Catholic prelate","50"
"Guri Ingebrigtsen","Guri Ingebrigtsen","2020-01-05","1952-05-19","Norwegian politician","45"
"Maciej Górski","Maciej Górski (politician)","2020-01-05","1944-01-27","Polish diplomat","44"
"Antoni Morell Mora","Antoni Morell Mora","2020-01-05","1941-12-14","Spanish-born Andorran diplomat and writer","36"
"Charles Oguk","Charles Oguk","2020-01-05","1964-06-17","Kenyan Olympic hockey player","35"
"Rubén Almanza","Rubén Almanza","2020-01-05","1927-07-28","Mexican Olympic basketball player (1952)","28"
"John Migneault","John Migneault","2020-01-05","1949-02-04","Canadian ice hockey player (Philadelphia Blazers, Vancouver Blazers, Phoenix Roadrunners)","28"
"Bjørn Unneberg","Bjørn Unneberg","2020-01-05","1928-02-23","Norwegian politician","26"
"Richard Maponya","Richard Maponya","2020-01-06","1920-12-24","South African property developer","5737"
"Akbar Padamsee","Akbar Padamsee","2020-01-06","1928-04-12","Indian painter","5137"
"Mike Fitzpatrick","Mike Fitzpatrick","2020-01-06","1963-06-28","American politician","3548"
"Ria Irawan","Ria Irawan","2020-01-06","1969-07-24","Indonesian actress (''Biola Tak Berdawai'', ''Arisan!'', ''Love for Share'')","1149"
"Sir George Cooper","George Cooper (British Army officer)","2020-01-06","1925-08-10","British general","441"
"John Brownjohn","John Brownjohn","2020-01-06","1929-04-11","British literary translator","440"
"Reva Gerstein","Reva Gerstein","2020-01-06","1917-03-27","Canadian psychologist","369"
"Duncan Dowson","Duncan Dowson","2020-01-06","1928-08-31","British engineer","174"
"Bernt Andersson","Bernt Andersson","2020-01-06","1933-09-05","Swedish football player (Djurgården) and manager (Halmstad, Helsingborg)","160"
"James Mehaffey","James Mehaffey","2020-01-06","1931-03-29","Irish Anglican prelate","130"
"Michel Didisheim","Michel Didisheim","2020-01-06","1930-04-18","Belgian aristocrat and royal secretary","104"
"Timoshenko Aslanides","Timoshenko Aslanides","2020-01-06","1943-12-24","Australian poet","76"
"Arne Holmgren","Arne Holmgren","2020-01-06","1940-12-21","Swedish biochemist","54"
"Ray Byrom","Ray Byrom","2020-01-06","1935-01-02","English footballer (Accrington Stanley, Bradford (Park Avenue))","22"
"Neil Peart","Neil Peart","2020-01-07","1952-09-12","Canadian Hall of Fame drummer (Rush) and lyricist (""The Spirit of Radio"", ""Tom Sawyer"")","61305"
