"name","death_date","description","pageviews","llm_knows_death","llm_response"
"Kobe Bryant","2020-01-26","basketball player (Los Angeles Lakers)","26546174","True","No"
"Qasem Soleimani","2020-01-03","Iranian major general","4706438","True","No"
"Neil Peart","2020-01-07","Canadian Hall of Fame drummer (Rush) and lyricist (""The Spirit of Radio"", ""Tom Sawyer"")","1595212","True","No"
"Rocky Johnson","2020-01-15","Canadian Hall of Fame professional wrestler (WWF, Big Time Wrestling, CWF) and trainer","1027267","True","No"
"John Altobelli","2020-01-26","baseball coach (Orange Coast College)","985365","True","No"
"Terry Jones","2020-01-21","Welsh comic actor","871181","True","No"
"David Stern","2020-01-01","American sports executive and lawyer","615195","True","No"
"Kirk Douglas","2020-02-05","American actor (''Spartacus'', ''Paths of Glory'', ''Seven Days in May'')","3405439","True","No"
"Caroline Flack","2020-02-15","English television and radio presenter (''The X Factor'', ''Love Island'', ''I'm a Celebrity: Extra Camp'')","3369913","True","No"
"Pop Smoke","2020-02-19","American rapper (""Welcome to the Party"", ""Dior"")","1841576","True","No"
"Li Wenliang","2020-02-07","Chinese ophthalmologist and whistleblower","1095811","True","No"
"Katherine Johnson","2020-02-24","American mathematician (NASA)","834839","True","No"
"Orson Bean","2020-02-07","American actor (''Dr. Quinn, Medicine Woman'', ''Being John Malkovich'') and game show panelist (''To Tell the Truth'')","805353","True","No"
"Robert Conrad","2020-02-08","American actor (''Hawaiian Eye'', ''The Wild Wild West'', ''Baa Baa Black Sheep'')","748741","True","No"
"Kenny Rogers","2020-03-20","American Hall of Fame singer (""The Gambler"", ""Just Dropped In"", ""Islands in the Stream"")","3320637","True","No"
"Bill Withers","2020-03-30","American Hall of Fame singer-songwriter (""Lean on Me"", ""Ain't No Sunshine"", ""Lovely Day"")","1484844","True","No"
"Joe Diffie","2020-03-29","American country singer-songwriter (""Home"", ""Third Rock from the Sun"", ""Pickup Man"")","1386978","True","No"
"Mark Blum","2020-03-25","American actor (''Crocodile Dundee'', ''Mozart in the Jungle'', ''Desperately Seeking Susan'')","1191350","True","No"
"Max von Sydow","2020-03-08","Swedish-born French actor (''The Seventh Seal'', ''The Exorcist'', ''Pelle the Conqueror'')","989595","True","No"
"Irrfan Khan","2020-04-29","Indian actor (''Slumdog Millionaire'', ''Life of Pi'', ''The Lunchbox'')","7154079","True","No"
"Rishi Kapoor","2020-04-30","Indian actor (''Bobby'', ''Do Dooni Chaar'', ''Kapoor & Sons'')","4055779","True","No"
"John Prine","2020-04-07","American singer-songwriter (""Sam Stone"", ""Angel from Montgomery"")","1832000","True","No"
"Brian Dennehy","2020-04-15","American actor (''First Blood'', ''Death of a Salesman'', ''Silverado'')","1582242","True","No"
"Adam Schlesinger","2020-04-01","American musician (Fountains of Wayne, Ivy) and songwriter (""That Thing You Do"")","1111013","True","No"
"Sam Lloyd","2020-04-30","American actor (''Scrubs'', ''Galaxy Quest'') and musician (The Blanks)","697762","True","No"
"Honor Blackman","2020-04-05","English actress (''The Avengers'', ''Goldfinger'', ''Jason and the Argonauts'')","681331","True","No"
"Gene Deitch","2020-04-16","American-born Czech illustrator","533824","True","No"
"George Floyd","2020-05-25","American police detainee","4217714","True","No"
"Little Richard","2020-05-09","American Hall of Fame rock and roll singer (""Tutti Frutti"", ""Long Tall Sally"", ""Lucille"")","2856399","True","No"
"Fred Willard","2020-05-15","American actor (''Best in Show'', ''Fernwood 2 Night'', ''Modern Family'') and comedian","2372634","True","No"
"Jerry Stiller","2020-05-11","American actor (''Seinfeld'', ''The King of Queens'') and comedian (Stiller and Meara)","1913353","True","No"
"Shad Gaspard","2020-05-17","American professional wrestler (WWE) and actor (''Get Hard'', ''From Dusk till Dawn: The Series'')","1264465","True","No"
"Hana Kimura","2020-05-23","Japanese professional wrestler (Stardom, Wrestle-1) and reality TV personality (''Terrace House: Tokyo 2019–2020'')","935155","True","No"
"Ravi Zacharias","2020-05-19","Indian-born Canadian-American Christian apologist","848041","True","No"
"Lynn Shelton","2020-05-16","American film and television director (''Humpday'', ''Your Sister's Sister'', ''Fresh Off the Boat'')","820039","True","No"
