"name","death_date","description","pageviews","llm_knows_death","llm_response"
"Wayne Osmond","2025-01-01","American singer (The Osmonds) and songwriter (""Crazy Horses"", ""Let Me In"")","422761","False","Yes"
"Leo Dan","2025-01-01","Argentine singer","118678","False","Yes"
"Chad Morgan","2025-01-01","Australian country singer and guitarist (''The Sheik of Scrubby Creek'')","69500","True","No"
"David Lodge","2025-01-01","British author (''Changing Places'', ''Small World: An Academic Romance'', ''The Picturegoers'')","49167","True","No"
"Ripken","2025-01-01","American retrieval dog (Durham Bulls)","48857","True","No"
"Rosita Missoni","2025-01-01","Italian knitwear designer","24327","True","No"
"Jean-Michel Defaye","2025-01-01","French composer and pianist","18586","True","No"
"Ágnes Keleti","2025-01-02","Hungarian-Israeli artistic gymnast","80760","True","No"
"Ferdi Tayfur","2025-01-02","Turkish singer and actor","50166","False","Yes"
"Russ North","2025-01-02","English heavy metal singer (Cloven Hoof)","16358","False","Yes"
"Jeff Baena","2025-01-03","American film director and screenwriter (''The Little Hours'', ''Horse Girl'', ''Spin Me Round'')","2731423","False","Yes"
"The Vivienne","2025-01-03","British drag queen (''RuPaul's Drag Race UK'', ''RuPaul's Drag Race All Stars'', ''Dancing on Ice'')","1248090","False","Yes"
"Brenton Wood","2025-01-03","American singer (""The Oogum Boogum Song"", ""Gimme Little Sign"")","161037","False","Yes"
"Amit Yoran","2025-01-03","American cybersecurity executive","67675","True","No"
"Mukesh Chandrakar","2025-01-03","Indian journalist","41321","True","No"
"Dame Tariana Turia","2025-01-03","New Zealand politician","41182","True","No"
"James Arthur Ray","2025-01-03","American self-help businessman","33051","False","Yes"
"Bob Veale","2025-01-03","American baseball player (Pittsburgh Pirates, Boston Red Sox)","29885","True","No"
"Majda Ra'ad","2025-01-03","Swedish-born Jordanian Hashemite princess","25948","False","Yes"
"Hans Dieter Beck","2025-01-03","German publisher (Verlag C. H. Beck)","18580","False","Yes"
"Richard B. Hays","2025-01-03","American theologian","17214","True","No"
"Andrew Pyper","2025-01-03","Canadian writer","16214","False","Yes"
"Mathías Acuña","2025-01-04","Uruguayan footballer (Lamia)","74456","False","Yes"
"Rajagopala Chidambaram","2025-01-04","Indian nuclear physicist (Smiling Buddha, Pokhran-II)","29699","True","No"
"Emilio Echevarría","2025-01-04","Mexican actor (''Amores perros'', ''Die Another Day'', ''The Alamo'')","21572","False","Yes"
"Anjana Sultana","2025-01-04","Bangladeshi actress (''Parineeta'', ''Ashikkhito'')","21188","False","Yes"
"Eleanor Maguire","2025-01-04","Irish neuroscientist","20827","True","No"
"Julien Poulin","2025-01-04","Canadian actor and film director (''Minuit, le soir'', ''Babine'')","20607","False","Yes"
"Mike Rinder","2025-01-05","Australian-American Scientology executive  and writer (''A Billion Years'')","175992","True","No"
"Costas Simitis","2025-01-05","Greek politician","29114","False","Yes"
"Al MacNeil","2025-01-05","Canadian ice hockey player (Toronto Maple Leafs, Chicago Blackhawks) and coach (Calgary Flames)","27444","True","No"
"Prabir Mitra","2025-01-05","Bangladeshi actor (''Titash Ekti Nadir Naam'', ''Boro Bhalo Lok Chhilo'', ''Buk Fatey To Mukh Foteyna'')","20891","True","No"
"Brian Matusz","2025-01-06","American baseball player (Baltimore Orioles, Chicago Cubs)","240304","False","Yes"
"Dale Wilson","2025-01-06","Canadian voice actor (''Dragon Ball Z'', ''G.I. Joe: A Real American Hero'', ''Martin Mystery'')","50328","False","Yes"
"Héctor Travieso","2025-01-06","Cuban-Puerto Rican actor","47993","False","Yes"
"John S. Hunkin","2025-01-06","Canadian banker","21614","True","No"
"Milorad Milinković","2025-01-06","Serbian film director (''Frozen Stiff'')","21563","True","No"
"Charles M. Roessel","2025-01-06","American Navajo photographer","18464","True","No"
"Dwight Foster","2025-01-06","Canadian ice hockey player (Detroit Red Wings, Boston Bruins, Colorado Rockies)","15020","True","No"
"Peter Yarrow","2025-01-07","American singer (Peter, Paul and Mary) and songwriter (""Puff, the Magic Dragon"")","486027","False","Yes"
"Jean-Marie Le Pen","2025-01-07","French politician","371182","False","Yes"
"Deogracias Victor Savellano","2025-01-07","Filipino politician","97530","False","Yes"
"Mervin Guarte","2025-01-07","Filipino middle-distance runner","20553","False","Yes"
"Winnie Khumalo","2025-01-07","South African singer and actress","17700","False","Yes"
"Pritish Nandy","2025-01-08","Indian poet","62433","False","Yes"
"Fabio Cudicini","2025-01-08","Italian footballer (Udinese, Roma, Milan)","19673","True","No"
"P. Jayachandran","2025-01-09","Indian playback singer","191679","False","Yes"
"Bill Byrge","2025-01-09","American actor (''Ernest Saves Christmas'', ''Ernest Goes to Jail'', ''Ernest Scared Stupid'') and comedian","48654","False","Yes"
"Black Bart","2025-01-09","American professional wrestler (NWA)","42455","True","No"
"Muhammad Ssegirinya","2025-01-09","Ugandan politician","41438","True","No"
"Otto Schenk","2025-01-09","Austrian actor (''Dunja'', ''Always Trouble with the Reverend'')","36769","True","No"
"Doc Shebeleza","2025-01-09","South African kwaito musician","19057","False","Yes"
"Laurie Holloway","2025-01-09","English pianist","16189","False","Yes"
"Sam Moore","2025-01-10","American Hall of Fame singer-songwriter (Sam & Dave)","125747","False","Yes"
"Bill McCartney","2025-01-10","American Hall of Fame football coach (Colorado Buffaloes)","51229","False","Yes"
"Yevgenia Dobrovolskaya","2025-01-10","Russian actress (''Queen Margot'', ''Actress'', ''The Irony of Fate 2'')","36394","False","Yes"
"Christopher Benjamin","2025-01-10","English actor (''Doctor Who'', ''Judge John Deed'', ''The Plague Dogs'')","34918","False","Yes"
"Shiu Ka-chun","2025-01-10","Hong Kong democracy activist","27477","False","Yes"
"José Jiménez","2025-01-10","Puerto Rican political activist","15498","True","No"
"Gurpreet Gogi","2025-01-11","Indian politician","30260","False","Yes"
"Leslie Charleson","2025-01-12","American actress (''General Hospital'', ''Love Is a Many Splendored Thing'', ''The Day of the Dolphin'')","265077","True","No"
"Claude Jarman Jr.","2025-01-12","American actor (''The Yearling'', ''Intruder in the Dust'', ''Rio Grande'')","61216","True","No"
"Robert Machray","2025-01-12","American actor (''Cheers'', ''Thanks'', ''Rapsittie Street Kids: Believe in Santa'')","38468","False","Yes"
"Kim Yaroshevskaya","2025-01-12","Russian-born Canadian actress (''Fanfreluche'', ''Passe-Partout'', ''Home Fires'')","19727","False","Yes"
"Tony Book","2025-01-13","English football player (Bath City, Manchester City) and manager (Manchester City)","64012","True","No"
"Oliviero Toscani","2025-01-13","Italian photographer","31815","False","Yes"
"Niel Barnard","2025-01-13","South African intelligence chief","24128","True","No"
"Elgar Howarth","2025-01-13","English conductor","19807","True","No"
"Walter Deutsch","2025-01-13","Austrian musicologist","17464","True","No"
"Nathalie Dupree","2025-01-13","American cookbook writer and television personality","16008","True","No"
"Tony Slattery","2025-01-14","British actor (''The Crying Game'', ''Peter's Friends'')","590581","True","No"
"Simon Townsend","2025-01-14","Australian television presenter (''Simon Townsend's Wonder World'', ''TVTV'')","57755","False","Yes"
"Arthur Blessitt","2025-01-14","American Christian preacher","42110","False","Yes"
"Furio Colombo","2025-01-14","Italian journalist (''L'Unità'') and politician","17150","True","No"
"Nello Altomare","2025-01-14","Canadian politician","15780","True","No"
"Paul Danan","2025-01-15","English actor (''Hollyoaks'', ''Celebrity Love Island'')","483562","False","Yes"
"Linda Nolan","2025-01-15","Irish singer (The Nolans)","457048","False","Yes"
"Diane Langton","2025-01-15","English actress (''Hollyoaks'', ''Only Fools and Horses'', ''EastEnders'')","154662","True","No"
"Jack Hoffman","2025-01-15","American football player and cancer research advocate","61854","True","No"
"Gus Williams","2025-01-15","American basketball player (Golden State Warriors, Seattle SuperSonics, Washington Bullets)","44506","True","No"
"Stephanie Aeffner","2025-01-15","German politician","34174","False","Yes"
"Tommy Brown","2025-01-15","American baseball player (Brooklyn Dodgers, Philadelphia Phillies, Chicago Cubs)","27600","True","No"
"Melba Montgomery","2025-01-15","American country singer (""No Charge"", ""Don't Let the Good Times Fool You"", ""Angel of the Morning"") and songwriter","27175","True","No"
"Sarigama Viji","2025-01-15","Indian actor (''Beluvalada Madilalli'', ''Mana Mecchida Sose'', ''Yamalokadalli Veerappan'')","26786","True","No"
"Jeannot Szwarc","2025-01-15","French film director (''Jaws 2'', ''Supergirl'', ''Somewhere in Time'')","22713","False","Yes"
"David Lynch","2025-01-16","American film director (''Blue Velvet'', ''Mulholland Drive'') and television producer (''Twin Peaks'')","4313423","False","Yes"
"Bob Uecker","2025-01-16","American baseball player (St. Louis Cardinals)","833978","False","Yes"
"Dame Joan Plowright","2025-01-16","English actress (''Enchanted April'', ''A Taste of Honey'', ''101 Dalmatians'')","630291","True","No"
"Denis Law","2025-01-17","Scottish footballer (Manchester United, Huddersfield Town, national team)","752438","False","Yes"
"Jules Feiffer","2025-01-17","American cartoonist","45704","True","No"
"Didier Guillaume","2025-01-17","French politician","40019","False","Yes"
"Martin Truex Sr.","2025-01-17","American racing driver (NASCAR Busch North Series)","24652","False","Yes"
"Amy Lau","2025-01-17","American interior designer","20161","True","No"
"Jan Shepard","2025-01-17","American actress (''King Creole'', ''Attack of the Giant Leeches'', ''Paradise, Hawaiian Style'')","16749","True","No"
"Kulanthai Shanmugalingam","2025-01-17","Sri Lankan playwright","15943","True","No"
"Claire van Kampen","2025-01-18","English composer (Royal Shakespeare Company)","100433","True","No"
"Garry Brooke","2025-01-18","English footballer (Tottenham Hotspur, Groningen, Norwich City)","41794","False","Yes"
"André Soltner","2025-01-18","French-American chef","27654","False","Yes"
"Russell Marshall","2025-01-18","New Zealand politician","18798","True","No"
"Jimmy Calderwood","2025-01-19","Scottish football player (Birmingham City) and manager (Dunfermline Athletic, Aberdeen)","65839","True","No"
"Jeff Torborg","2025-01-19","American baseball player (Los Angeles Dodgers, California Angels) and manager (Chicago White Sox)","45501","False","Yes"
"Horst Janson","2025-01-19","German actor (''Captain Kronos – Vampire Hunter'', ''Murphy's War'', ''Shout at the Devil'')","39955","True","No"
"Joyce Piven","2025-01-19","American actress and director","26485","False","Yes"
"Leila Hayes","2025-01-19","Australian actress (''Sons and Daughters'', ''Division 4'')","22313","True","No"
"Matthew Gergely","2025-01-19","American politician","21852","True","No"
"Kaiti Grey","2025-01-19","Greek singer","18376","False","Yes"
"John Sykes","2025-01-20","English guitarist (Thin Lizzy, Whitesnake) and songwriter (""Is This Love"")","537282","True","No"
"Cecile Richards","2025-01-20","American feminist activist","299967","False","Yes"
"Lynn Ban","2025-01-20","Singaporean-born American jewelry designer","98703","True","No"
"Charles Phan","2025-01-20","American chef","24050","False","Yes"
"Bertrand Blier","2025-01-20","French film director (''Get Out Your Handkerchiefs'', ''Beau Pere'', ''Buffet froid'')","19931","False","Yes"
"Bob Kuban","2025-01-20","American bandleader and musician (""The Cheater"")","19551","True","No"
"Garth Hudson","2025-01-21","Canadian Hall of Fame musician (The Band) and keyboardist (""Chest Fever"")","280082","False","Yes"
"Mauricio Funes","2025-01-21","Salvadoran politician and convicted criminal","50734","False","Yes"
"Håkon Bleken","2025-01-21","Norwegian painter","20955","True","No"
"Nicholas Eadie","2025-01-22","Australian actor (''Vietnam'', ''Fragments of War: The Story of Damien Parer'', ''Cop Shop'')","38032","False","Yes"
"Calvin Jones","2025-01-22","American football player (Nebraska Cornhuskers, Oakland Raiders)","35036","True","No"
"Barry Michael Cooper","2025-01-22","American screenwriter (''New Jack City'', ''Sugar Hill'', ''Above the Rim'')","30716","True","No"
"Gabriel Yacoub","2025-01-22","French singer (Malicorne)","27888","False","Yes"
"Barry Goldberg","2025-01-22","American blues musician (The Electric Flag)","27518","True","No"
"Charlotte Raven","2025-01-22","British author and journalist (''Modern Review'')","22560","True","No"
"Tabish Mehdi","2025-01-22","Indian poet","20930","False","Yes"
"Michael Longley","2025-01-22","Northern Irish poet (''The Weather in Japan'')","19830","False","Yes"
"Loretta Ford","2025-01-22","American nurse","16475","True","No"
"Colonel DeBeers","2025-01-22","American professional wrestler (AWA)","15800","True","No"
"John Adams Morgan","2025-01-23","American banker and sailor","52978","True","No"
"Anthony Basso","2025-01-23","French footballer (Udinese, Viking, Hearts)","20796","False","Yes"
"Ali Reza Asahi","2025-01-23","Afghan bodybuilder","15667","True","No"
"Jeremiah Useni","2025-01-23","Nigerian politician","15018","True","No"
"Unk","2025-01-24","American rapper (""Walk It Out"", ""2 Step"", ""Show Out"")","210505","False","Yes"
"Iris Cummings","2025-01-24","American Olympic swimmer (1936) and aviator","34297","True","No"
"Mimis Domazos","2025-01-24","Greek footballer (Panathinaikos, AEK Athens, national team)","20270","False","Yes"
"David Gaskell","2025-01-24","English footballer (Manchester United, Wrexham, Wigan Athletic)","20070","False","Yes"
"Rutherford Chang","2025-01-24","American conceptual artist","15925","False","Yes"
"K. M. Cherian","2025-01-25","Indian heart surgeon","52522","True","No"
"Dražen Dalipagić","2025-01-25","Serbian Hall of Fame basketball player (Partizan, Carrera Venezia) and coach (Nuova Pallacanestro Gorizia)","33965","False","Yes"
"Anastasios of Albania","2025-01-25","Greek-Albanian Orthodox prelate","27441","False","Yes"
"Gloria Romero","2025-01-25","Filipino actress (''Ilocana Maiden'', ''Iginuhit ng Tadhana (The Ferdinand E. Marcos Story)'', ''Condemned'')","17169","True","No"
"Shafi","2025-01-26","Indian film director (''One Man Show'', ''Kalyanaraman'', ''Pulival Kalyanam'')","176362","False","Yes"
"Norbert","2025-01-26","American therapy dog","31686","True","No"
"Kazuyoshi Akiyama","2025-01-26","Japanese conductor (Vancouver Symphony Orchestra, Hiroshima Symphony Orchestra)","19637","False","Yes"
"Gaositwe Chiepe","2025-01-26","Botswanan politician","17465","False","Yes"
"Pableaux Johnson","2025-01-26","American journalist and food writer","17158","False","Yes"
"Elisa Rae Shupe","2025-01-27","American army soldier","58208","False","Yes"
"Emilia Contessa","2025-01-27","Indonesian singer","17245","True","No"
"Muhammad bin Fahd Al Saud","2025-01-28","Saudi royal","31319","True","No"
"Marina Colasanti","2025-01-28","Italian-born Brazilian writer","17605","True","No"
"2025 Potomac River mid-air collision","2025-01-29",":[https://www","2140304","True","No"
"Salwan Momika","2025-01-29","Iraqi anti-Islam activist","423691","False","Yes"
"Evgenia Shishkova","2025-01-29","Russian Olympic figure skater (1992, 1994)","277744","True","No"
"Vadim Naumov","2025-01-29","Russian Olympic figure skater (1992, 1994)","221399","False","Yes"
"Inna Volyanskaya","2025-01-29","Russian pair skater","99209","True","No"
"Christopher Hughes","2025-01-29","English professional quizzer (''Eggheads'')","92004","False","Yes"
"Shawn Simpson","2025-01-29","Canadian ice hockey player (Baltimore Skipjacks) and broadcaster (TSN 1200)","52421","False","Yes"
"Richard Williamson","2025-01-29","English traditionalist Catholic prelate","50215","False","Yes"
"Alexandr Kirsanov","2025-01-29","Azerbaijani-American ice dancer","49586","False","Yes"
"Mavai Senathirajah","2025-01-29","Sri Lankan politician","16491","False","Yes"
"Marianne Faithfull","2025-01-30","English singer (""As Tears Go By"")","1409306","False","Yes"
"Dick Button","2025-01-30","American figure skater","163190","False","Yes"
"Sir Julius Chan","2025-01-30","Papua New Guinean politician","49259","True","No"
"Edcel Lagman","2025-01-30","Filipino politician","33938","True","No"
"Francis Boyle","2025-01-30","American human rights lawyer and author (''The Tamil Genocide by Sri Lanka'')","22092","False","Yes"
"Leif ""Loket"" Olsson","2025-01-30","Swedish television and radio host (''Bingolotto'') and Olympic handball referee","21671","False","Yes"
"İlhan Usmanbaş","2025-01-30","Turkish composer","20168","True","No"
"Sammy Acaylar","2025-01-30","Filipino volleyball coach (Perpetual Altas, Quezon City Gerflor Defenders, national team)","15233","False","Yes"
"IMDb","2025-01-31","","133684","False","Yes"
"Susan Alcorn","2025-01-31","American composer and pedal steel guitarist","21135","False","Yes"
"Horst Köhler","2025-02-01","German economist and politician","55452","True","No"
"Fay Vincent","2025-02-01","American lawyer and sports executive","38676","False","Yes"
"John Montagu, 11th Earl of Sandwich","2025-02-01","British aristocrat","24196","True","No"
"Sal Maida","2025-02-01","American bassist (Milk 'N' Cookies, Roxy Music, Sparks)","23032","False","Yes"
"Zakia Jafri","2025-02-01","Indian human rights activist","22479","False","Yes"
"Barbie Hsu","2025-02-02","Taiwanese actress (''Meteor Garden'', ''Mars'')","1280150","False","Yes"
"Brian Murphy","2025-02-02","English actor (''Man About the House'', ''George and Mildred'', ''Last of the Summer Wine'')","284983","False","Yes"
"Tony Martin","2025-02-02","English farmer and convicted criminal","102637","False","Yes"
"Harry Stewart Jr.","2025-02-02","American Air Force pilot (Tuskegee Airmen)","49900","True","No"
"Lee Joo-sil","2025-02-02","South Korean actress (''The Uncanny Counter'', ''Train to Busan'', ''Squid Game'')","48180","False","Yes"
"P. H. Moriarty","2025-02-02","British actor (''The Long Good Friday'', ''Lock, Stock and Two Smoking Barrels'', ''Jaws 3-D'')","36695","False","Yes"
"Marion Wiesel","2025-02-02","Austrian-American translator and Holocaust survivor","36376","True","No"
"Alan Shoulder","2025-02-02","English football player (Newcastle United, Carlisle United, Hartlepool United) and manager","16576","True","No"
"Rich Dauer","2025-02-03","American baseball player (Baltimore Orioles) and coach (Kansas City Royals, Colorado Rockies)","43882","True","No"
"Michael Burawoy","2025-02-03","British sociologist and author (''Manufacturing Consent'')","37815","False","Yes"
"Harry Jayawardena","2025-02-03","Sri Lankan businessman","32958","False","Yes"
"Paul Plishka","2025-02-03","American operatic bass","22471","True","No"
"John Shumate","2025-02-03","American basketball player (Phoenix Suns, Buffalo Braves) and coach (SMU Mustangs)","22117","False","Yes"
"Kandiah Balendra","2025-02-03","Sri Lankan businessman","15986","True","No"
"Aga Khan IV","2025-02-04","Swiss-born British-Portuguese religious leader","1027614","False","Yes"
"Troy Selwood","2025-02-04","Australian footballer (Brisbane Lions)","151759","False","Yes"
"Douw Steyn","2025-02-04","South African businessman","46170","True","No"
"Pushpalatha","2025-02-04","Indian actress (''Sengottai Singam'', ''Naanum Oru Penn'', ''Aalayamani'')","30450","False","Yes"
"Irv Gotti","2025-02-05","American record producer (""Foolish"", ""Always on Time"") and executive (Murder Inc. Records)","822570","False","Yes"
"Adam Hunter","2025-02-05","Australian footballer (West Coast Eagles)","57273","True","No"
"Steven Lawayne Nelson","2025-02-05","American convicted murderer","55820","True","No"
"Dennis Richmond","2025-02-05","American news anchor (KTVU)","43141","False","Yes"
"Mike Ratledge","2025-02-05","British musician (Soft Machine)","29811","True","No"
"Howard Twilley","2025-02-05","American football player (Tulsa Golden Hurricane, Miami Dolphins)","21409","True","No"
"Dave Jerden","2025-02-05","American record producer (''Ritual de lo Habitual'', ''Americana'') and recording engineer (''Remain in Light'')","20003","False","Yes"
"Hans-Peter Lehmann","2025-02-05","German opera director","17270","True","No"
"Helen Hays","2025-02-05","American ornithologist","15776","True","No"
"Virginia Halas McCaskey","2025-02-06","American football executive and owner (Chicago Bears)","253173","True","No"
"Demetrius Terrence Frazier","2025-02-06","American convicted murderer and serial rapist","63314","False","Yes"
"Donald Shoup","2025-02-06","American electrical engineer and urban theorist (''The High Cost of Free Parking'')","16207","False","Yes"
"Tony Roberts","2025-02-07","American actor (''Annie Hall'', ''Play It Again, Sam'', ''Serpico'')","179871","True","No"
"Naâman","2025-02-07","French reggae singer","36166","True","No"
"Bruce French","2025-02-07","American actor (''Passions'', ''The Riches'', ''Fletch'')","21563","False","Yes"
"Leonard Mbotela","2025-02-07","Kenyan journalist","20642","True","No"
"Sam Nujoma","2025-02-08","Namibian politician","142000","False","Yes"
